id,company,location,industry,total_laid_off,percentage_laid_off,date,stage,stage_group,funds_raised,country,source,date_added,year,month
1,Patreon,SF Bay Area,Media,93,0.20,2026-07-23,Series F,Late,413.00,United States,https://techcrunch.com/2026/07/23/patreon-lays-off-off-20-of-its-workforce/,2026-07-24,2026,2026-07
2,Amazon,Port St. Lucie,Retail,1110,,2026-07-22,Post-IPO,Mature/Exit,8100.00,United States,https://www.msn.com/en-us/money/companies/amazon-to-renovate-two-florida-warehouses-for-400m-cut-1-100-jobs/ar-AA28s48O,2026-07-24,2026,2026-07
3,Monday.com,"Tel Aviv, Non-U.S.",Product,630,0.20,2026-07-22,Post-IPO,Mature/Exit,384.00,Israel,https://techcrunch.com/2026/07/22/monday-com-lays-off-hundreds-to-focuses-on-ai/,2026-07-23,2026,2026-07
4,Amazon,Seattle,Retail,,,2026-07-22,Post-IPO,Mature/Exit,8100.00,United States,https://www.reuters.com/business/world-at-work/amazon-cuts-jobs-its-artificial-general-intelligence-group-2026-07-22/,2026-07-24,2026,2026-07
5,Uber,SF Bay Area,Transportation,,,2026-07-22,Post-IPO,Mature/Exit,25200.00,United States,https://www.bloomberg.com/news/articles/2026-07-22/uber-cuts-10-of-customer-service-jobs-citing-embrace-of-ai,2026-07-24,2026,2026-07
6,Intel,Sacramento,Hardware,,,2026-07-20,Post-IPO,Mature/Exit,12.00,United States,https://www.oregonlive.com/silicon-forest/2026/07/intel-plans-fresh-layoffs-this-time-in-its-data-center-group.html,2026-07-22,2026,2026-07
7,Samsung,New York City,Hardware,739,,2026-07-19,Post-IPO,Mature/Exit,,United States,https://www.cnbc.com/2026/07/19/samsung-cuts-us-jobs-offers-relocations-ahead-of-hq-move-reuters.html,2026-07-22,2026,2026-07
8,Samsung,Dallas,Hardware,100,,2026-07-19,Post-IPO,Mature/Exit,,United States,https://www.cnbc.com/2026/07/19/samsung-cuts-us-jobs-offers-relocations-ahead-of-hq-move-reuters.html,2026-07-22,2026,2026-07
9,Polygon,"Cayman Islands, Non-U.S.",Crypto,,,2026-07-16,Unknown,Unknown,451.00,Cayman Islands,https://www.thestreet.com/crypto/markets/polygon-cuts-jobs-for-second-time-this-year-in-a-bold-pivot,2026-07-20,2026,2026-07
10,Sprout Social,Chicago,Marketing,260,0.20,2026-07-15,Post-IPO,Mature/Exit,111.00,United States,https://www.marketwatch.com/story/sprout-social-to-cut-20-of-workforce-as-ai-fueled-tech-layoffs-continue-7e2b1b17,2026-07-15,2026,2026-07
