id,year_month,sector,unemployment_rate
1,2026-06,Information,4.70
2,2026-05,Information,4.10
3,2026-04,Information,3.80
4,2026-03,Information,6.70
5,2026-02,Information,6.90
6,2026-01,Information,7.10
7,2025-12,Information,5.00
8,2025-11,Information,4.10
9,2025-09,Information,3.80
10,2025-08,Information,3.20
11,2025-07,Information,3.40
12,2025-06,Information,3.40
13,2025-05,Information,3.50
14,2025-04,Information,5.60
15,2025-03,Information,5.40
16,2025-02,Information,7.20
17,2025-01,Information,6.50
18,2024-12,Information,5.20
19,2024-11,Information,4.60
20,2024-10,Information,4.20
21,2024-09,Information,3.70
22,2024-08,Information,3.20
23,2024-07,Information,3.90
24,2024-06,Information,3.30
25,2024-05,Information,3.90
26,2024-04,Information,5.20
27,2024-03,Information,5.40
28,2024-02,Information,7.00
29,2024-01,Information,6.90
30,2023-12,Information,4.40
31,2023-11,Information,4.80
32,2023-10,Information,4.00
33,2023-09,Information,3.80
34,2023-08,Information,3.90
35,2023-07,Information,3.90
36,2023-06,Information,3.60
37,2023-05,Information,3.50
38,2023-04,Information,4.10
39,2023-03,Information,5.60
40,2023-02,Information,6.60
41,2023-01,Information,6.90
42,2022-12,Information,4.40
43,2022-11,Information,3.90
44,2022-10,Information,4.10
45,2022-09,Information,3.40
46,2022-08,Information,3.90
47,2022-07,Information,3.50
48,2022-06,Information,3.70
49,2022-05,Information,3.80
50,2022-04,Information,4.60
51,2022-03,Information,6.00
52,2022-02,Information,6.70
53,2022-01,Information,7.10
54,2021-12,Information,5.00
55,2021-11,Information,4.70
56,2021-10,Information,4.00
57,2021-09,Information,4.50
58,2021-08,Information,4.60
59,2021-07,Information,6.10
60,2021-06,Information,7.50
61,2021-05,Information,6.70
62,2021-04,Information,7.70
63,2021-03,Information,8.60
64,2021-02,Information,9.60
65,2021-01,Information,9.40
66,2020-12,Information,9.60
67,2020-11,Information,7.30
68,2020-10,Information,6.80
69,2020-09,Information,7.10
70,2020-08,Information,7.60
71,2020-07,Information,8.90
72,2020-06,Information,10.10
73,2020-05,Information,12.70
74,2020-04,Information,16.60
75,2020-03,Information,6.90
76,2020-02,Information,5.50
77,2020-01,Information,5.40
78,2019-12,Information,5.00
79,2019-11,Information,4.40
80,2019-10,Information,4.00
81,2019-09,Information,3.20
82,2019-08,Information,3.60
83,2019-07,Information,3.80
84,2019-06,Information,4.00
85,2019-05,Information,3.20
86,2019-04,Information,4.70
87,2019-03,Information,5.20
88,2019-02,Information,6.20
89,2019-01,Information,6.40
