id,company,ticker,layoff_date,price_30d_before,price_on_layoff_day,price_30d_after,pct_change_before,pct_change_after
1,Amazon,AMZN,2026-07-22,232.79,244.85,231.48,5.18,-5.46
2,Amazon,AMZN,2026-07-22,232.79,244.85,231.48,5.18,-5.46
3,Uber,UBER,2026-07-22,71.43,70.33,70.25,-1.54,-0.11
4,Intel,INTC,2026-07-20,140.94,97.06,86.37,-31.13,-11.01
5,Microsoft,MSFT,2026-07-06,416.67,386.74,399.16,-7.18,3.21
6,Amazon,AMZN,2026-07-06,246.03,244.16,231.48,-0.76,-5.19
7,Oracle,ORCL,2026-06-23,192.39,164.59,120.04,-14.45,-27.07
8,Rivian,RIVN,2026-06-16,13.35,15.93,17.09,19.33,7.28
9,Opendoor,OPEN,2026-06-10,4.85,4.48,4.76,-7.63,6.36
10,Salesforce,CRM,2026-06-09,177.03,174.90,162.50,-1.21,-7.09
11,Google,GOOGL,2026-06-04,388.20,371.97,366.46,-4.18,-1.48
12,Uber,UBER,2026-06-03,73.93,71.69,74.43,-3.03,3.82
13,Meta,META,2026-05-20,670.29,604.50,577.22,-9.82,-4.51
14,Cisco,CSCO,2026-05-13,82.04,101.49,120.65,23.70,18.88
15,PayPal,PYPL,2026-05-05,45.33,46.34,42.75,2.22,-7.74
16,Shopify,SHOP,2026-05-04,118.80,127.55,112.94,7.37,-11.45
17,Snap,SNAP,2026-04-15,4.68,6.04,5.53,29.06,-8.44
18,Qualcomm,QCOM,2026-04-09,134.70,127.28,218.28,-5.51,71.50
19,Meta,META,2026-04-02,653.91,573.93,608.19,-12.23,5.97
20,Meta,META,2026-03-25,636.12,594.34,674.40,-6.57,13.47
21,Spotify,SPOT,2026-03-23,490.60,492.39,522.88,0.36,6.19
22,Amazon,AMZN,2026-03-04,242.96,216.82,209.77,-10.76,-3.25
23,eBay,EBAY,2026-02-26,94.62,87.36,87.74,-7.67,0.43
24,Salesforce,CRM,2026-02-09,258.62,193.05,193.15,-25.36,0.05
25,Peloton,PTON,2026-01-30,6.16,5.59,3.90,-9.25,-30.23
26,Amazon,AMZN,2026-01-28,232.07,243.01,210.00,4.71,-13.58
27,Shopify,SHOP,2026-01-22,169.53,137.64,126.20,-18.81,-8.31
28,Meta,META,2026-01-13,646.36,629.97,648.65,-2.54,2.97
29,Amazon,AMZN,2025-12-15,234.69,222.54,236.65,-5.18,6.34
30,Shopify,SHOP,2025-11-26,175.06,159.34,170.83,-8.98,7.21
31,Amazon,AMZN,2025-10-27,219.78,226.97,229.16,3.27,0.96
32,Chegg,CHGG,2025-10-27,1.50,1.44,0.97,-4.00,-32.64
33,Rivian,RIVN,2025-10-23,15.53,13.09,14.86,-15.71,13.52
34,Meta,META,2025-10-22,763.18,731.51,592.71,-4.15,-18.97
35,Google,GOOGL,2025-10-02,210.75,245.21,280.64,16.35,14.45
36,Google,GOOGL,2025-10-01,210.75,244.42,280.64,15.98,14.82
37,Microsoft,MSFT,2025-09-08,517.90,495.06,521.55,-4.41,5.35
38,Rivian,RIVN,2025-09-05,11.64,14.21,13.50,22.08,-5.00
39,Salesforce,CRM,2025-09-04,245.41,241.96,238.76,-1.41,-1.32
40,Oracle,ORCL,2025-09-04,252.79,220.49,282.92,-12.78,28.31
41,Oracle,ORCL,2025-09-03,249.68,220.93,282.92,-11.52,28.06
42,Salesforce,CRM,2025-09-03,250.20,254.30,238.76,1.64,-6.11
43,Salesforce,CRM,2025-09-03,250.20,254.30,238.76,1.64,-6.11
44,Oracle,ORCL,2025-09-02,249.68,222.76,285.53,-10.78,28.18
45,Salesforce,CRM,2025-08-31,248.64,250.74,235.42,0.85,-6.11
46,Cisco,CSCO,2025-08-19,66.95,65.41,67.29,-2.31,2.88
47,Oracle,ORCL,2025-08-19,240.80,231.98,293.28,-3.66,26.43
48,Oracle,ORCL,2025-08-13,226.70,241.43,288.89,6.50,19.66
49,Oracle,ORCL,2025-08-13,226.70,241.43,288.89,6.50,19.66
50,Oracle,ORCL,2025-08-13,226.70,241.43,288.89,6.50,19.66
51,F5,FFIV,2025-08-13,294.15,325.79,321.67,10.76,-1.26
52,Peloton,PTON,2025-08-07,6.71,7.11,8.02,5.96,12.80
53,Amazon,AMZN,2025-07-17,214.82,223.88,231.03,4.22,3.19
54,Intel,INTC,2025-07-11,20.68,23.43,20.65,13.30,-11.87
55,Microsoft,MSFT,2025-07-02,458.31,487.20,519.96,6.30,6.72
56,Rivian,RIVN,2025-06-26,15.37,13.91,14.01,-9.50,0.72
57,Google,GOOGL,2025-06-24,172.20,166.30,191.62,-3.43,15.23
58,Intel,INTC,2025-06-24,20.55,22.55,22.63,9.73,0.35
59,Microsoft,MSFT,2025-06-24,457.04,486.23,506.83,6.39,4.24
60,Intel,INTC,2025-06-17,21.38,20.80,22.80,-2.71,9.62
61,Microsoft,MSFT,2025-06-02,431.04,458.31,487.20,6.33,6.30
62,eBay,EBAY,2025-05-28,65.22,71.20,72.82,9.17,2.29
63,Amazon,AMZN,2025-05-14,182.12,210.25,212.10,15.45,0.88
64,Microsoft,MSFT,2025-05-13,384.03,444.76,475.08,15.81,6.82
65,Chegg,CHGG,2025-05-12,0.48,0.74,1.57,54.17,112.16
66,Meta,META,2025-04-24,623.78,531.00,624.53,-14.87,17.61
67,Intel,INTC,2025-04-23,24.22,20.59,20.05,-14.99,-2.62
68,Google,GOOGL,2025-04-11,166.43,156.50,157.82,-5.97,0.84
69,Wayfair,W,2025-03-07,48.31,35.01,27.44,-27.53,-21.62
70,Google,GOOGL,2025-02-27,194.29,167.62,153.70,-13.72,-8.30
71,eBay,EBAY,2025-02-26,65.43,67.68,66.04,3.44,-2.42
72,Redfin,RDFN,2025-02-12,,,,,
73,Unity,U,2025-02-11,21.70,19.50,20.48,-10.14,5.03
74,Meta,META,2025-02-10,612.83,713.87,616.51,16.49,-13.64
75,Intel,INTC,2025-02-04,19.87,19.29,20.75,-2.92,7.57
76,Salesforce,CRM,2025-02-03,329.07,335.33,288.61,1.90,-13.93
77,Amazon,AMZN,2025-01-29,221.30,237.07,212.28,7.13,-10.46
78,Microsoft,MSFT,2025-01-14,446.30,410.80,405.73,-7.95,-1.23
79,Wayfair,W,2025-01-10,54.93,44.10,44.51,-19.72,0.93
80,Redfin,RDFN,2025-01-09,,,,,
81,Microsoft,MSFT,2025-01-07,440.79,417.42,410.95,-5.30,-1.55
82,Chegg,CHGG,2024-11-12,1.50,1.77,2.24,18.00,26.55
83,Opendoor,OPEN,2024-11-07,1.79,1.87,2.20,4.47,17.65
84,F5,FFIV,2024-10-29,220.20,240.33,250.35,9.14,4.17
85,Meta,META,2024-10-16,530.23,573.49,550.91,8.16,-3.94
86,F5,FFIV,2024-09-24,199.41,223.60,213.57,12.13,-4.49
87,Microsoft,MSFT,2024-09-12,407.60,421.15,410.62,3.32,-2.50
88,Lyft,LYFT,2024-09-04,10.57,11.34,12.57,7.28,10.85
89,Redfin,RDFN,2024-08-22,,,,,
90,Cisco,CSCO,2024-08-09,44.12,43.36,46.44,-1.73,7.10
91,Intel,INTC,2024-08-01,30.87,28.87,22.04,-6.50,-23.65
92,Salesforce,CRM,2024-07-15,228.29,249.27,251.70,9.19,0.97
93,Spotify,SPOT,2024-07-15,313.02,302.15,334.35,-3.47,10.66
94,Microsoft,MSFT,2024-07-03,407.12,453.64,402.17,11.43,-11.35
95,eBay,EBAY,2024-06-26,51.07,52.10,52.57,2.01,0.91
96,PayPal,PYPL,2024-06-18,64.21,58.61,59.48,-8.72,1.49
97,Chegg,CHGG,2024-06-17,4.38,2.61,3.54,-40.41,35.63
98,Microsoft,MSFT,2024-06-03,399.65,407.12,453.64,1.87,11.43
99,Google,GOOGL,2024-05-31,162.42,170.98,181.59,5.27,6.20
100,Rivian,RIVN,2024-05-10,10.27,9.99,11.87,-2.73,18.82
101,Google,GOOGL,2024-05-10,154.77,167.17,173.67,8.01,3.89
102,Rivian,RIVN,2024-05-03,10.54,10.07,11.40,-4.46,13.21
103,Peloton,PTON,2024-05-02,4.06,3.13,3.64,-22.91,16.29
104,Google,GOOGL,2024-05-01,154.12,162.42,170.98,5.38,5.27
105,Google,GOOGL,2024-04-30,154.12,161.35,170.60,4.69,5.73
106,Google,GOOGL,2024-04-17,146.38,154.10,174.51,5.27,13.24
107,Rivian,RIVN,2024-04-17,11.40,8.74,10.50,-23.33,20.14
108,Intel,INTC,2024-04-09,44.40,37.93,29.90,-14.56,-21.18
109,Amazon,AMZN,2024-04-03,177.58,182.41,186.21,2.72,2.08
110,Meta,META,2024-03-06,455.41,492.29,523.30,8.10,6.30
111,Rivian,RIVN,2024-02-21,16.03,15.39,10.80,-3.99,-29.82
112,Cisco,CSCO,2024-02-14,47.44,47.15,45.89,-0.61,-2.68
113,Amazon,AMZN,2024-02-06,149.10,169.15,176.82,13.45,4.53
114,Snap,SNAP,2024-02-05,16.55,16.75,11.16,1.21,-33.37
115,PayPal,PYPL,2024-01-30,60.93,63.13,59.82,3.61,-5.24
116,Salesforce,CRM,2024-01-26,262.18,275.18,295.28,4.96,7.31
117,Microsoft,MSFT,2024-01-25,367.52,397.15,403.26,8.06,1.54
118,eBay,EBAY,2024-01-23,41.75,39.77,42.52,-4.76,6.93
119,Google,GOOGL,2024-01-22,140.25,144.71,141.30,3.18,-2.36
120,Wayfair,W,2024-01-19,64.70,56.13,50.48,-13.25,-10.07
121,Amazon,AMZN,2024-01-18,153.79,153.50,169.51,-0.19,10.43
122,Google,GOOGL,2024-01-16,134.61,141.24,141.52,4.93,0.20
123,Google,GOOGL,2024-01-10,132.12,141.03,147.69,6.74,4.72
124,Amazon,AMZN,2024-01-10,145.89,153.73,174.45,5.37,13.48
125,Unity,U,2024-01-08,32.70,38.98,32.52,19.20,-16.57
126,Intel,INTC,2023-12-21,43.06,46.46,47.51,7.88,2.27
127,eBay,EBAY,2023-12-17,38.31,40.83,39.08,6.58,-4.28
128,Rivian,RIVN,2023-12-07,17.42,19.19,19.08,10.16,-0.57
129,Spotify,SPOT,2023-12-04,169.98,194.17,187.94,14.23,-3.21
130,Unity,U,2023-11-28,25.08,29.37,42.68,17.11,45.32
131,Amazon,AMZN,2023-11-17,128.13,145.18,154.07,13.31,6.12
132,Amazon,AMZN,2023-11-13,129.79,142.59,148.84,9.86,4.38
133,Snap,SNAP,2023-11-08,8.61,11.23,15.09,30.43,34.37
